,0,1
1170,strange,13
1171,rumour,2
1172,perrys,2
1173,slice,3
1174,iii,4
1175,united,10
1176,causes,4
1177,residence,4
1178,measure,7
1179,families,10
1180,horror,7
1181,dinner-parties,2
1182,terms,9
1183,fortunately,3
1184,including,3
1185,parish,9
1186,donwell,47
1187,abbey,24
1188,seat,11
1189,comprehended,2
1190,unfrequently,1
1191,persuasion,11
1192,parties,19
1193,preferred,8
1194,fancied,9
1195,unequal,7
1196,company,32
1197,scarcely,21
1198,card-table,1
1199,long-standing,2
1200,westons,7
1201,liking,6
1202,privilege,5
1203,exchanging,1
1204,vacant,2
1205,blank,4
1206,elegancies,3
1207,drawing-room,15
1208,lovely,11
1209,thrown,18
1210,set,63
1211,come-at-able,1
1212,goddard,59
1213,ladies,44
1214,invitation,21
1215,fetched,2
1216,carried,5
1217,hardship,3
1218,grievance,2
1219,widow,3
1220,vicar,3
1221,quadrille,1
1222,respect,44
1223,harmless,3
1224,under,63
1225,untoward,1
1226,enjoyed,6
1227,uncommon,3
1228,degree,54
1229,popularity,3
1230,neither,33
1231,stood,15
1232,predicament,1
1233,public,13
1234,favour,25
1235,superiority,10
1236,atonement,2
1237,frighten,1
1238,hate,4
1239,outward,5
1240,boasted,4
1241,beauty,29
1242,cleverness,1
1243,distinction,8
1244,middle,10
1245,failing,2
1246,possible,81
1247,named,10
1248,good-will,13
1249,universal,1
1250,contented,6
1251,worked,2
1252,wonders,3
1253,quicksighted,1
1254,surrounded,4
1255,simplicity,10
1256,cheerfulness,6
1257,grateful,14
1258,recommendation,7
1259,mine,22
1260,felicity,10
1261,talker,6
1262,suited,8
1263,trivial,3
1264,communications,5
1265,gossip,1
1266,school—not,1
1267,seminary,1
1268,establishment,7
1269,professed,6
1270,sentences,3
1271,refined,3
1272,combine,1
1273,liberal,9
1274,acquirements,2
1275,elegant,25
1276,morality,1
1277,principles,6
1278,systems—and,1
1279,enormous,1
1280,screwed,1
1281,health,31
1282,vanity—but,1
1283,honest,5
1284,old-fashioned,2
1285,boarding-school,1
1286,reasonable,20
1287,quantity,4
1288,accomplishments,1
1289,sold,3
1290,price,1
1291,sent,33
1292,scramble,2
1293,themselves,36
1294,prodigies,1
1295,school,10
1296,high,19
1297,repute—and,1
1298,reckoned,3
1299,healthy,3
1300,spot,7
1301,ample,6
1302,garden,11
1303,gave,53
1304,plenty,5
1305,wholesome,4
1306,food,3
1307,run,17
1308,summer,21
1309,winter,12
1310,dressed,8
1311,chilblains,1
1312,wonder,49
1313,train,3
1314,couple,22
1315,church,7
1316,plain,21
1317,motherly,2
1318,entitled,3
1319,occasional,3
1320,holiday,2
1321,tea-visit,1
1322,formerly,4
1323,owed,5
1324,particular,41
1325,neat,6
1326,parlour,7
1327,hung,3
1328,round,39
1329,fancy-work,1
1330,win,1
1331,sixpences,1
1332,fireside,4
1333,frequently,8
1334,collect,3
1335,sake,23
1336,concerned,14
1337,remedy,1
1338,delighted,30
1339,pleased,45
1340,contriving,2
1341,quiet,25
1342,prosings,1
1343,women,17
1344,fearfully,1
1345,anticipated,5
1346,looking,62
1347,close,18
1348,note,22
1349,requesting,1
1350,respectful,2
1351,smith,87
1352,request,4
1353,seventeen,3
1354,sight,24
1355,interest,43
1356,gracious,3
1357,dreaded,2
1358,fair,29
1359,mansion,1
1360,harriet,481
1361,several,8
1362,lately,20
1363,raised,6
1364,condition,6
1365,scholar,1
